samplesize,run,shrinkage,LossFunc,Predictors,OptNumTrees,TPR,TNR,Accuracy,AUC,Concordance
6000,1,0.03,adaboost,35,462,0.727333333,0.652666667,0.69,0.771590944,0.771590778
6000,1,0.04,bernoulli,37,300,0.727666667,0.658,0.692833333,0.770352278,0.770351889
6000,1,0.04,adaboost,37,418,0.735666667,0.653333333,0.6945,0.775852833,0.775852667
6000,1,0.05,bernoulli,37,381,0.730666667,0.677,0.703833333,0.783118667,0.783118333
6000,1,0.05,adaboost,36,241,0.732333333,0.650333333,0.691333333,0.768847278,0.768845778
6000,1,0.06,bernoulli,35,244,0.725333333,0.667666667,0.6965,0.773764833,0.773763889
6000,1,0.06,adaboost,37,248,0.732,0.661666667,0.696833333,0.773333722,0.773332667
6000,1,0.07,bernoulli,36,226,0.734666667,0.658,0.696333333,0.779414556,0.779412667
6000,1,0.07,adaboost,35,148,0.729,0.644,0.6865,0.764274222,0.764270667
6000,1,0.08,bernoulli,34,153,0.738,0.650666667,0.694333333,0.770491444,0.770488444
6000,1,0.08,adaboost,32,118,0.722666667,0.649,0.685833333,0.763802889,0.763793556
6000,1,0.09,bernoulli,33,131,0.734333333,0.654333333,0.694333333,0.770477389,0.770470556
6000,1,0.09,adaboost,31,113,0.727333333,0.649666667,0.6885,0.763734889,0.763725
6000,1,0.1,bernoulli,33,77,0.724,0.637,0.6805,0.759571556,0.759539778
6000,1,0.1,adaboost,33,98,0.729666667,0.648666667,0.689166667,0.762320778,0.762313
6000,2,0.001,bernoulli,37,16507,0.745,0.688,0.7165,0.789588889,0.789588889
6000,2,0.001,adaboost,37,14008,0.743,0.679,0.711,0.784173778,0.784173778
6000,2,0.01,bernoulli,37,1646,0.745333333,0.684666667,0.715,0.789200333,0.789200333
6000,2,0.01,adaboost,37,1531,0.746333333,0.679666667,0.713,0.785875111,0.785875111
6000,2,0.02,bernoulli,37,842,0.742,0.683666667,0.712833333,0.788088722,0.788088667
6000,2,0.02,adaboost,37,697,0.742333333,0.678666667,0.7105,0.782575556,0.782575444
6000,2,0.03,bernoulli,37,613,0.752,0.687666667,0.719833333,0.792883278,0.792883222
6000,2,0.03,adaboost,36,497,0.745,0.677,0.711,0.784290833,0.784290556
6000,2,0.04,bernoulli,36,355,0.747,0.68,0.7135,0.785456222,0.785455111
6000,2,0.04,adaboost,37,405,0.746,0.676333333,0.711166667,0.785909889,0.785909556
6000,2,0.05,bernoulli,36,288,0.745,0.683666667,0.714333333,0.785591389,0.785590556
6000,2,0.05,adaboost,36,263,0.74,0.677666667,0.708833333,0.781478111,0.781476778
6000,2,0.06,bernoulli,34,168,0.744333333,0.663666667,0.704,0.776820833,0.776818333
6000,2,0.06,adaboost,35,227,0.739666667,0.676,0.707833333,0.780617056,0.780616333
6000,2,0.07,bernoulli,37,192,0.742666667,0.679666667,0.711166667,0.782188278,0.782186889
6000,2,0.07,adaboost,33,133,0.731666667,0.672333333,0.702,0.7744245,0.774413889
6000,2,0.08,bernoulli,35,163,0.743666667,0.670333333,0.707,0.779409611,0.779407
6000,2,0.08,adaboost,37,204,0.748666667,0.674666667,0.711666667,0.784117333,0.784116667
6000,2,0.09,bernoulli,35,157,0.747333333,0.671666667,0.7095,0.783271722,0.783268667
6000,2,0.09,adaboost,33,132,0.743,0.667333333,0.705166667,0.779456444,0.779447333
6000,2,0.1,bernoulli,35,141,0.734,0.684,0.709,0.782212389,0.782205444
6000,2,0.1,adaboost,32,107,0.737333333,0.666,0.701666667,0.775931556,0.775911222
6000,3,0.001,bernoulli,37,18821,0.752666667,0.704666667,0.728666667,0.800985444,0.800985444
6000,3,0.001,adaboost,37,13111,0.743333333,0.691,0.717166667,0.790282667,0.790282667
6000,3,0.01,bernoulli,37,1898,0.750666667,0.708333333,0.7295,0.800480444,0.800480444
6000,3,0.01,adaboost,37,1424,0.746,0.692333333,0.719166667,0.791050333,0.791050333
6000,3,0.02,bernoulli,37,784,0.743,0.701666667,0.722333333,0.794595611,0.794595444
6000,3,0.02,adaboost,37,709,0.750666667,0.689333333,0.72,0.789241389,0.789241111
6000,3,0.03,bernoulli,37,618,0.750666667,0.703333333,0.727,0.79901,0.799009667
6000,3,0.03,adaboost,36,385,0.737,0.687666667,0.712333333,0.786865889,0.786864667
6000,3,0.04,bernoulli,36,416,0.75,0.701666667,0.725833333,0.795793944,0.795792889
6000,3,0.04,adaboost,37,429,0.752666667,0.695,0.723833333,0.794433167,0.794433
6000,3,0.05,bernoulli,37,301,0.745333333,0.699333333,0.722333333,0.793933278,0.793932222
6000,3,0.05,adaboost,36,274,0.746333333,0.691666667,0.719,0.790544333,0.790543222
6000,3,0.06,bernoulli,35,219,0.742333333,0.694666667,0.7185,0.789753889,0.789749667
6000,3,0.06,adaboost,34,179,0.734666667,0.691666667,0.713166667,0.784526778,0.784524222
6000,3,0.07,bernoulli,35,179,0.742333333,0.697,0.719666667,0.788072,0.788069667
6000,3,0.07,adaboost,34,173,0.744,0.686,0.715,0.786854833,0.786850556
6000,3,0.08,bernoulli,34,139,0.735666667,0.691666667,0.713666667,0.786926889,0.786923333
6000,3,0.08,adaboost,35,167,0.736333333,0.688333333,0.712333333,0.788253167,0.788247778
6000,3,0.09,bernoulli,34,120,0.737333333,0.689666667,0.7135,0.784259556,0.784249111
6000,3,0.09,adaboost,33,146,0.743,0.685333333,0.714166667,0.786062889,0.786057111
6000,3,0.1,bernoulli,36,139,0.746,0.681,0.7135,0.788752056,0.788748778
6000,3,0.1,adaboost,36,146,0.749333333,0.693,0.721166667,0.788819333,0.788817889
6000,4,0.001,bernoulli,37,19887,0.753333333,0.685666667,0.7195,0.799846722,0.799846667
6000,4,0.001,adaboost,37,16573,0.752333333,0.674333333,0.713333333,0.792158056,0.792158
6000,4,0.01,bernoulli,37,1466,0.749,0.676333333,0.712666667,0.791933056,0.791932889
6000,4,0.01,adaboost,37,1979,0.756333333,0.676,0.716166667,0.796739056,0.796739
6000,4,0.02,bernoulli,37,992,0.750333333,0.686666667,0.7185,0.798872722,0.798872667
6000,4,0.02,adaboost,36,927,0.756333333,0.670666667,0.7135,0.794570222,0.794570111
6000,4,0.03,bernoulli,37,614,0.752666667,0.679666667,0.716166667,0.795810278,0.795810111
6000,4,0.03,adaboost,37,594,0.75,0.678333333,0.714166667,0.792019833,0.792019556
6000,4,0.04,bernoulli,37,441,0.746333333,0.675333333,0.710833333,0.795532556,0.795532111
6000,4,0.04,adaboost,37,375,0.751333333,0.669,0.710166667,0.788705278,0.788704556
6000,4,0.05,bernoulli,37,313,0.749333333,0.675666667,0.7125,0.7905395,0.790539
6000,4,0.05,adaboost,36,320,0.743333333,0.676666667,0.71,0.788825722,0.788824556
6000,4,0.06,bernoulli,35,284,0.747333333,0.68,0.713666667,0.791857056,0.791856444
6000,4,0.06,adaboost,37,227,0.752,0.665,0.7085,0.784266944,0.784265667
6000,4,0.07,bernoulli,35,286,0.742666667,0.694333333,0.7185,0.797279222,0.797277778
6000,4,0.07,adaboost,37,233,0.745,0.674333333,0.709666667,0.789805944,0.789804778
6000,4,0.08,bernoulli,36,233,0.748666667,0.684,0.716333333,0.794737611,0.794736444
6000,4,0.08,adaboost,32,133,0.752666667,0.655,0.703833333,0.778987722,0.778975222
6000,4,0.09,bernoulli,32,117,0.744,0.668,0.706,0.781687056,0.781674667
6000,4,0.09,adaboost,35,171,0.748666667,0.666,0.707333333,0.789385167,0.789384556
6000,4,0.1,bernoulli,33,109,0.736,0.673,0.7045,0.781753222,0.781716778
6000,4,0.1,adaboost,35,177,0.742,0.681,0.7115,0.791474111,0.791470667
6000,5,0.001,bernoulli,37,11771,0.737666667,0.671666667,0.704666667,0.775561444,0.775561444
6000,5,0.001,adaboost,37,10072,0.734,0.663,0.6985,0.771051111,0.771051111
6000,5,0.01,bernoulli,37,1173,0.737,0.673666667,0.705333333,0.774610667,0.774610667
6000,5,0.01,adaboost,37,1065,0.735,0.659333333,0.697166667,0.772108722,0.772108
6000,5,0.02,bernoulli,36,724,0.740666667,0.678666667,0.709666667,0.779615111,0.779615
6000,5,0.02,adaboost,36,410,0.734666667,0.653,0.693833333,0.766845444,0.766843222
6000,5,0.03,bernoulli,36,360,0.736333333,0.676,0.706166667,0.773644167,0.773643444
6000,5,0.03,adaboost,36,398,0.736333333,0.658333333,0.697333333,0.773140889,0.773140333
6000,5,0.04,bernoulli,35,314,0.732333333,0.669333333,0.700833333,0.775572,0.775568667
6000,5,0.04,adaboost,33,201,0.730333333,0.657666667,0.694,0.766173333,0.766168667
6000,5,0.05,bernoulli,35,182,0.732333333,0.662,0.697166667,0.769079667,0.769070889
6000,5,0.05,adaboost,33,166,0.727333333,0.660666667,0.694,0.766693722,0.766688444
6000,5,0.06,bernoulli,33,176,0.735,0.666333333,0.700666667,0.771168722,0.771164333
6000,5,0.06,adaboost,34,125,0.729666667,0.659,0.694333333,0.763557389,0.763545333
6000,5,0.07,bernoulli,31,126,0.725,0.668333333,0.696666667,0.768178222,0.768169222
6000,5,0.07,adaboost,32,108,0.719,0.668666667,0.693833333,0.764563,0.764538444
6000,5,0.08,bernoulli,31,123,0.732,0.668666667,0.700333333,0.769584722,0.769550556
6000,5,0.08,adaboost,32,110,0.735666667,0.654,0.694833333,0.767087167,0.767049111
6000,5,0.09,bernoulli,33,98,0.726666667,0.658,0.692333333,0.767460278,0.767441444
6000,5,0.09,adaboost,29,85,0.717333333,0.659666667,0.6885,0.762530667,0.762481556
6000,5,0.1,bernoulli,30,78,0.727666667,0.66,0.693833333,0.766294889,0.766270111
6000,5,0.1,adaboost,27,68,0.722666667,0.659333333,0.691,0.762752889,0.762673222
7000,1,0.001,bernoulli,37,19995,0.749142857,0.693142857,0.721142857,0.795854204,0.795854204
7000,1,0.001,adaboost,37,16155,0.742571429,0.682571429,0.712571429,0.788467429,0.788467429
7000,1,0.01,bernoulli,37,1658,0.745428571,0.686571429,0.716,0.790755878,0.790755673
7000,1,0.01,adaboost,37,1383,0.737714286,0.679142857,0.708428571,0.78490898,0.784908898
7000,1,0.02,bernoulli,37,718,0.741142857,0.681428571,0.711285714,0.786748653,0.786747265
7000,1,0.02,adaboost,37,833,0.736285714,0.684571429,0.710428571,0.788453551,0.788453143
7000,1,0.03,bernoulli,37,542,0.743714286,0.687142857,0.715428571,0.789390653,0.789390286
7000,1,0.03,adaboost,37,489,0.739714286,0.682857143,0.711285714,0.785334245,0.785333551
7000,1,0.04,bernoulli,37,389,0.740571429,0.682571429,0.711571429,0.786926204,0.786920327
