"samplesize","run","Num_Round","LearningRate","Accuracy","AUC","Concordance"
7000,3,400,0.05,0.717285714285714,0.789530408163265,0.789530367346939
7000,3,400,0.07,0.674857142857143,0.76853387755102,0.768533714285714
7000,3,400,0.1,0.680571428571429,0.792303714285714,0.792303183673469
7000,3,500,0.005,0.705857142857143,0.771309306122449,0.771309224489796
7000,3,500,0.01,0.711142857142857,0.783487755102041,0.783487673469388
7000,3,500,0.03,0.729,0.797459959183674,0.797459918367347
7000,3,500,0.05,0.723,0.78983987755102,0.789839755102041
7000,3,500,0.07,0.702571428571429,0.775687959183674,0.775687918367347
7000,3,500,0.1,0.639142857142857,0.785989714285714,0.785988571428571
8000,1,100,0.005,0.70225,0.77424959375,0.7742495
8000,1,100,0.01,0.703125,0.77543834375,0.7754383125
8000,1,100,0.03,0.706125,0.7792014375,0.779201375
8000,1,100,0.05,0.70925,0.78105478125,0.7810546875
8000,1,100,0.07,0.70525,0.77688296875,0.776882875
8000,1,100,0.1,0.704625,0.77755309375,0.7775530625
8000,1,200,0.005,0.707125,0.77743521875,0.777435125
8000,1,200,0.01,0.706875,0.77973521875,0.779735125
8000,1,200,0.03,0.709875,0.78528134375,0.7852813125
8000,1,200,0.05,0.718625,0.78797625,0.7879761875
8000,1,200,0.07,0.706625,0.77912653125,0.7791265
8000,1,200,0.1,0.710125,0.77966671875,0.7796666875
8000,1,300,0.005,0.707,0.77953165625,0.779531625
8000,1,300,0.01,0.7065,0.78072121875,0.7807211875
8000,1,300,0.03,0.7045,0.78303075,0.7830306875
8000,1,300,0.05,0.708375,0.77206915625,0.772069125
8000,1,300,0.07,0.725375,0.79309471875,0.793094625
8000,1,300,0.1,0.712375,0.78752409375,0.7875240625
8000,1,400,0.005,0.705375,0.779850125,0.77985
8000,1,400,0.01,0.70975,0.7820760625,0.782076
8000,1,400,0.03,0.715375,0.787183125,0.7871830625
8000,1,400,0.05,0.717875,0.794667125,0.7946670625
8000,1,400,0.07,0.672,0.76751190625,0.7675118125
8000,1,400,0.1,0.721,0.7896156875,0.789615625
8000,1,500,0.005,0.707625,0.78079446875,0.7807944375
8000,1,500,0.01,0.7115,0.78435096875,0.784350875
8000,1,500,0.03,0.7135,0.797774125,0.7977740625
8000,1,500,0.05,0.70375,0.79100321875,0.7910031875
8000,1,500,0.07,0.73275,0.812197625,0.8121974375
8000,1,500,0.1,0.710375,0.76713375,0.7671336875
8000,2,100,0.005,0.695875,0.76281340625,0.762813375
8000,2,100,0.01,0.70175,0.768229125,0.768229125
8000,2,100,0.03,0.695375,0.77323103125,0.773231
8000,2,100,0.05,0.7025,0.77021025,0.77021025
8000,2,100,0.07,0.694,0.7660708125,0.7660708125
8000,2,100,0.1,0.69375,0.7649048125,0.76490475
8000,2,200,0.005,0.703625,0.76922434375,0.7692243125
8000,2,200,0.01,0.7005,0.77228759375,0.7722875625
8000,2,200,0.03,0.709625,0.78016640625,0.780166375
8000,2,200,0.05,0.709375,0.7807173125,0.7807173125
8000,2,200,0.07,0.712,0.77891521875,0.7789151875
8000,2,200,0.1,0.704375,0.77389165625,0.7738915625
8000,2,300,0.005,0.701875,0.77106509375,0.771065
8000,2,300,0.01,0.70675,0.776679875,0.776679875
8000,2,300,0.03,0.716375,0.78186715625,0.781867125
8000,2,300,0.05,0.707125,0.77866059375,0.7786605625
8000,2,300,0.07,0.708,0.78451690625,0.784516875
8000,2,300,0.1,0.71975,0.78728021875,0.7872801875
8000,2,400,0.005,0.698125,0.77173825,0.77173825
8000,2,400,0.01,0.712625,0.780131,0.780131
8000,2,400,0.03,0.72075,0.78838084375,0.7883808125
8000,2,400,0.05,0.713625,0.78136646875,0.7813664375
8000,2,400,0.07,0.712375,0.78001096875,0.7800109375
8000,2,400,0.1,0.518,0.76434928125,0.764349125
8000,2,500,0.005,0.70825,0.7769710625,0.7769710625
8000,2,500,0.01,0.714125,0.7820210625,0.782021
