"samplesize","run","shrinkage","LossFunc","Predictors","OptNumTrees","TPR","TNR","Accuracy","AUC","Concordance"
5000,5,0.001,adaboost,37,14943,0.7776,0.6888,0.7332,0.81535168,0.81535168
5000,5,0.01,bernoulli,37,1543,0.7764,0.7012,0.7388,0.819491519999999,0.81949152
5000,5,0.01,adaboost,37,1590,0.7752,0.6968,0.736,0.816539599999995,0.81653952
5000,5,0.02,bernoulli,36,830,0.78,0.7076,0.7438,0.820535279999998,0.82053504
5000,5,0.02,adaboost,36,552,0.7712,0.6828,0.727,0.8077376,0.8077368
5000,5,0.03,bernoulli,36,454,0.764,0.6988,0.7314,0.814670560000002,0.81466976
5000,5,0.03,adaboost,36,591,0.776,0.696,0.736,0.817783999999997,0.81778368
5000,5,0.04,bernoulli,37,405,0.7744,0.6976,0.736,0.817741359999999,0.81774
5000,5,0.04,adaboost,36,308,0.78,0.6824,0.7312,0.810735439999999,0.81073296
5000,5,0.05,bernoulli,36,333,0.7748,0.7068,0.7408,0.819581679999999,0.81958064
5000,5,0.05,adaboost,37,283,0.7728,0.6888,0.7308,0.812090959999998,0.8120864
5000,5,0.06,bernoulli,36,287,0.774,0.7024,0.7382,0.820440799999998,0.82043744
5000,5,0.06,adaboost,36,188,0.772,0.6844,0.7282,0.807438559999999,0.80742992
5000,5,0.07,bernoulli,34,142,0.7736,0.6892,0.7314,0.8092912,0.80926368
5000,5,0.07,adaboost,35,144,0.768,0.6832,0.7256,0.804640799999999,0.80463088
5000,5,0.08,bernoulli,35,124,0.7736,0.6848,0.7292,0.806922079999998,0.8069152
5000,5,0.08,adaboost,36,226,0.7696,0.7084,0.739,0.817902000000004,0.81789968
5000,5,0.09,bernoulli,35,140,0.7688,0.7,0.7344,0.811353359999997,0.8113448
5000,5,0.09,adaboost,36,121,0.7728,0.6792,0.726,0.806661199999998,0.80662736
5000,5,0.1,bernoulli,36,155,0.7732,0.7024,0.7378,0.815553599999994,0.81554416
5000,5,0.1,adaboost,36,146,0.772,0.6916,0.7318,0.810998079999999,0.81098944
6000,1,0.001,bernoulli,37,17845,0.768333333333333,0.700333333333333,0.734333333333333,0.814093999999999,0.814094
6000,1,0.001,adaboost,37,17875,0.771333333333333,0.687666666666667,0.7295,0.811088111111114,0.811088111111111
6000,1,0.01,bernoulli,37,1914,0.775,0.698333333333333,0.736666666666667,0.815852000000004,0.815852
6000,1,0.01,adaboost,37,1521,0.770666666666667,0.683666666666667,0.727166666666667,0.807932444444442,0.807932111111111
