samplesize,run,coeflearn,TPR,TNR,Accuracy,CVAccuracy,AUC,Concordance
17000,3,Freund,0.745294118,0.711882353,0.728588235,0.718,0.810939882,0.810928581
17000,3,Zhu,0.742823529,0.723647059,0.733235294,0.720529412,0.811113806,0.811099474
17000,4,Breiman,0.731647059,0.719294118,0.725470588,0.716882353,0.80271454,0.802651336
17000,4,Freund,0.731411765,0.726588235,0.729,0.718705882,0.807309744,0.807297412
17000,4,Zhu,0.739411765,0.715058824,0.727235294,0.718,0.805784671,0.805767502
17000,5,Breiman,0.738352941,0.722823529,0.730588235,0.723470588,0.809729813,0.809698851
17000,5,Freund,0.735647059,0.731647059,0.733647059,0.720882353,0.80970209,0.809682782
17000,5,Zhu,0.730941176,0.733411765,0.732176471,0.720058824,0.809110851,0.809067045
18000,1,Breiman,0.733888889,0.715444444,0.724666667,0.720388889,0.802873778,0.802836568
18000,1,Freund,0.735,0.727777778,0.731388889,0.7135,0.808349105,0.808333704
18000,1,Zhu,0.724444444,0.727777778,0.726111111,0.715111111,0.805177784,0.805161901
18000,2,Breiman,0.738555556,0.713444444,0.726,0.720944444,0.801047377,0.801028519
18000,2,Freund,0.734333333,0.725444444,0.729888889,0.716333333,0.805832506,0.805791198
18000,2,Zhu,0.746444444,0.712666667,0.729555556,0.718777778,0.806091784,0.806057914
18000,3,Breiman,0.732222222,0.727111111,0.729666667,0.720611111,0.807728728,0.807717556
18000,3,Freund,0.734333333,0.729,0.731666667,0.717333333,0.810161574,0.810149951
18000,3,Zhu,0.740666667,0.719222222,0.729944444,0.713833333,0.807917531,0.807898827
18000,4,Breiman,0.751555556,0.712555556,0.732055556,0.724555556,0.807662481,0.807641506
18000,4,Freund,0.736555556,0.717333333,0.726944444,0.7195,0.80612916,0.806099333
18000,4,Zhu,0.732222222,0.734111111,0.733166667,0.722222222,0.810786852,0.810773951
18000,5,Breiman,0.748666667,0.717444444,0.733055556,0.725833333,0.808716444,0.808701049
18000,5,Freund,0.740222222,0.724333333,0.732277778,0.722888889,0.81074229,0.81072858
18000,5,Zhu,0.740444444,0.728555556,0.7345,0.722388889,0.811172994,0.811155568
19000,1,Breiman,0.741368421,0.707368421,0.724368421,0.717736842,0.800922,0.800908742
19000,1,Freund,0.738526316,0.707578947,0.723052632,0.714473684,0.802619247,0.80260749
19000,1,Zhu,0.746,0.705263158,0.725631579,0.712315789,0.803096482,0.803079191
19000,2,Breiman,0.737894737,0.713263158,0.725578947,0.719684211,0.80431713,0.804300687
19000,2,Freund,0.726,0.730421053,0.728210526,0.718894737,0.806531867,0.806503745
19000,2,Zhu,0.738526316,0.725368421,0.731947368,0.716578947,0.806879064,0.806846981
19000,3,Breiman,0.733789474,0.712842105,0.723315789,0.714684211,0.803768565,0.80372359
19000,3,Freund,0.727473684,0.711368421,0.719421053,0.715578947,0.800561413,0.800541319
19000,3,Zhu,0.735684211,0.721789474,0.728736842,0.715894737,0.806368665,0.806354881
19000,4,Breiman,0.737157895,0.713684211,0.725421053,0.716578947,0.802165801,0.802151091
19000,4,Freund,0.738947368,0.710105263,0.724526316,0.715578947,0.802624598,0.802613341
19000,4,Zhu,0.736315789,0.716,0.726157895,0.713894737,0.804474083,0.804441418
19000,5,Breiman,0.743789474,0.707894737,0.725842105,0.716210526,0.802834565,0.80281313
19000,5,Freund,0.742736842,0.700105263,0.721421053,0.714473684,0.800680366,0.800666194
19000,5,Zhu,0.750736842,0.704736842,0.727736842,0.712789474,0.804171097,0.804156355
20000,1,Breiman,0.7392,0.7095,0.72435,0.71375,0.80098712,0.80095826
20000,1,Freund,0.7367,0.7149,0.7258,0.71305,0.802053625,0.80204184
20000,1,Zhu,0.7425,0.7048,0.72365,0.7146,0.801641185,0.80162068
20000,2,Breiman,0.7439,0.7138,0.72885,0.71845,0.804060285,0.8039924
20000,2,Freund,0.7413,0.7117,0.7265,0.71695,0.805380685,0.80534372
20000,2,Zhu,0.7471,0.7019,0.7245,0.71965,0.804930075,0.80490781
20000,3,Breiman,0.7426,0.7053,0.72395,0.7187,0.803374655,0.80333135
20000,3,Freund,0.7306,0.7236,0.7271,0.71645,0.805287605,0.80525264
20000,3,Zhu,0.7497,0.7032,0.72645,0.71665,0.80683771,0.80681032
20000,4,Breiman,0.7206,0.7261,0.72335,0.71655,0.802438105,0.8024139
20000,4,Freund,0.715,0.729,0.722,0.7168,0.801053925,0.80102316
20000,4,Zhu,0.7494,0.7108,0.7301,0.719,0.807465155,0.80743739
20000,5,Breiman,0.7279,0.7257,0.7268,0.7208,0.802686775,0.80263832
20000,5,Freund,0.7366,0.7195,0.72805,0.7193,0.806097205,0.80608124
20000,5,Zhu,0.7189,0.7339,0.7264,0.7202,0.805545715,0.80552689
